id,color,Yield,FruitAver,Firmness
P003,0.100752693,154.67,41.93,588.917
P004,0.138919403,186.77,58.79,640.031
P005,0.086815024,80.21,48.16,671.523
P006,0.134085615,202.96,48.24,687.172
P007,0.135192776,174.74,45.83,601.322
P008,0.174066855,194.16,44.63,656.379
P009,0.112916198,210.96,50.11,692.978
P010,0.132977735,296.28,41.05,630
P012,0.180145012,154.58,44.52,639.408
P013,0.102654512,57.3,37.18,649.968
P014,0.2114498,70.24,43.51,525.044
P015,0.307023859,91.15,52.83,644.759
P016,0.185293679,194.25,48.02,667.969
P017,0.110124076,66.87,55.36,670.114
P018,0.201102079,204.58,46.82,615.19
P019,0.181512668,268.35,47.08,657.492
P020,0.165709543,333.92,48.95,633.617
P022,0.089481435,181.14,44.85,697.174
P023,0.144979292,216.54,43.24,661.793
P024,0.507155649,192.76,49.53,655.982
P025,0.144097484,76.74,40.11,538.771
P026,0.203646601,150.19,45.2,777.518
P027,0.197796813,29.72,29.72,650.885
P028,0.186629983,152.29,47.23,571.952
P030,0.145194899,224.98,49.29,609.638
P031,0.311737832,188.21,59.46,618.952
P032,0.100582812,85.51,49.12,625.663
P033,0.101757126,136.91,42.76,752.23
P034,0.085610895,156.93,48.24,562.185
P035,0.134212203,190.39,41.27,665.787
P036,0.110269511,202.91,41.73,606.952
P037,0.210886026,170.2,49.5,660.916
P039,0.289283876,48.06,35.73,555.374
P040,0.268612245,19.35,19.35,646.913
P043,0.181337052,175.11,48.21,NA
P045,0.210734599,173.19,52.56,674.427
P046,0.333032433,271.61,49.8,NA
P047,0.431362616,203.1,47.49,NA
P048,0.078613223,150.67,41.43,NA
P049,0.092519692,229.01,36.27,646.333
P051,0.14609764,74.65,53.28,672.229
P052,0.251578592,264.67,38.26,NA
P053,NA,0,0,NA
P054,0.13806963,145.35,35.53,595.123
P055,0.145959099,99.24,50.55,599.712
P057,0.096273634,83.41,48.28,653.179
P059,0.160004059,192.44,39.46,580.961
P060,0.131026707,186.42,41.12,604.525
P061,0.167942816,141.97,36.62,679.704
P063,0.101445278,79.13,44.19,683.612
P064,0.080125103,91.61,32.06,624.915
P065,0.140012842,82.76,34.19,594.071
P066,0.156969234,66.55,34.39,542.026
P067,0.107162531,94,54.36,607.956
P068,0.159292031,161.3,48.33,645.987
P071,0.168536979,221.09,37.57,622.723
P073,0.319433597,139.81,55,641.045
P075,0.125092921,227.59,42.87,589.194
P076,0.320477913,125.15,44.03,600.576
P077,0.131113831,125.37,38.13,734.516
P078,0.17251907,87.69,48.64,666.894
P079,0.15598261,83.72,51.29,579.523
P080,0.197213979,68.7,41.26,681.961
P081,0.158306092,47.64,45.85,714.954
P082,0.145684294,138.12,40.88,663.77
P083,0.34483848,66.79,45.57,676.009
P084,0.122303029,178,45.3,598.408
P085,0.093231712,255.78,39.73,679.664
P086,0.342677749,90.12,47.45,690.094
P087,0.090879244,135.3,48.16,689.894
P088,0.212010315,235.05,47.3,684.506
P090,0.199131116,123.32,51.07,696.216
P091,0.115459197,172.9,47.12,675.386
P092,0.265437589,75.37,33.15,529.522
P093,0.127080288,52.32,48.42,NA
P094,0.124952231,109.81,39.43,688.585
P095,0.263286227,182.24,46.37,708.824
P096,0.329846975,102.36,46.44,NA
P097,0.076771659,115.03,43.54,646.131
P098,0.274539061,155.84,35.5,636.032
P099,0.148768463,92.05,42.64,713.36
P100,0.246908349,220.69,47.79,684.13
P103,0.142280943,133.34,51.56,635.819
P104,0.087422572,59.02,46.75,678.45
P106,0.196074263,230.24,45.12,556.42
P107,0.129348114,136.8,40.4,632.597
P108,0.3285588,126.48,36.58,634.807
P109,0.141616645,49.13,45.74,621.925
P110,0.131748768,153.98,51.54,630.528
P111,0.343402949,226.5,39.11,641.547
P112,0.105808784,87.27,45.61,584.175
P113,0.269229467,174.36,49.3,NA
P114,0.231054882,167.92,44.57,590.269
P115,0.226962603,108.14,51.44,658.694
P116,0.145922307,123.66,45.09,687.519
P117,0.108284448,44.89,29.37,562.314
P118,0.192803762,90.25,40.67,517.599
P119,0.247543894,151.73,48.59,601.898
P120,0.094063738,116.37,44.09,569.103
P121,0.121574424,262.63,37.24,561.27
P122,0.125807134,157.31,36.02,617.628
P123,0.272336681,112.04,41.04,623.828
P124,0.19038961,129.09,43.91,641.491
P125,0.236990618,50.38,50.38,645.423
P126,0.297401588,147.2,53.96,663.697
P127,0.208408981,187.68,46.5,599.606
P128,0.413532161,122.76,44.57,645.199
P129,0.269128969,132.21,49.12,609.895
P132,0.135340874,117.53,34.87,592.696
P133,0.116281616,213.02,41.87,630.415
P134,0.13265196,130.69,43.73,654.96
P135,0.246593961,70.56,45.82,621.936
P136,0.060397695,55.99,47.44,627.965
P137,0.187018472,255.11,41.7,682.389
P138,0.201097973,289.17,47.17,628.035
P139,0.187132696,114.62,56.69,616.394
P141,0.116502128,200.1,48.16,595.763
P142,0.170471587,160.35,39.22,681.349
P143,0.376224152,52.92,49.78,725.238
P144,0.207919273,60.26,38.79,592.057
P145,0.079111407,82.34,37.5,564.362
P147,0.132832637,130.11,44.93,689.484
P148,0.236790597,212.35,41.43,638.265
P150,0.219785381,195.12,62.32,591.064
P151,0.177542133,141.56,46.24,585.5
P152,0.107595487,92.53,48.45,637.313
P153,0.096830629,70.82,47.13,632.76
P154,0.18695307,191.87,37.99,620.839
P155,0.127021462,66.1,39.39,613.948
P157,0.318258005,59.75,48.42,584.028
P158,0.075329219,129.04,38.22,NA
P159,0.122381564,85.93,47.55,NA
P161,0.218507466,159.26,40.57,NA
P162,0.127610095,142.27,49.52,NA
P163,0.104244194,104.08,40.41,NA
P164,0.296541039,48.65,38.56,NA
P165,0.10554655,131.41,41.82,661.292
P166,0.233659336,121.89,37,690.351
P168,0.34791247,247.48,45.8,643.933
P170,0.41914862,126.19,40.17,621.209
P171,0.115344721,78.2,44.8,773.633
P172,0.252132535,140.2,52.1,588.814
P174,0.148399737,33.9,49.6,688.038
P175,0.16019046,97.55,44.18,648.64
P176,0.106026886,265.12,37.26,706.416
P177,0.142002208,143.39,38.56,671.735
P178,0.156667987,131.16,44.09,693.725
P179,0.161802111,269.59,43.55,571.741
P180,0.179883976,161.48,54.44,729.405
P181,0.395494786,163.29,41.59,670.701
P182,0.275549288,63.8,46.2,599.16
P183,0.228575847,46.1,50.4,599.824
P184,0.10190114,8.87,42.11,595.963
P185,0.137367511,159.38,38.51,650.879
P187,0.106510907,24.14,34.01,560.955
P188,0.123608428,30.29,26.2,563.5
P189,0.15791909,168.81,38.36,632.37
P190,0.214502914,142.66,47.99,635.96
P191,0.197123473,143.21,62.18,644.321
P192,0.090719321,180.47,33.43,658.705
P193,0.220993164,151.68,55.86,639.409
P194,0.378313968,158.7,43.2,550.168
P195,0.206587963,36.66,59.48,654.631
P196,0.112226915,11.68,11.68,542.506
P197,0.11928626,11.91,31.14,577.322
P198,0.173712589,70.86,51.79,625.704
P199,0.143857938,126.11,46.24,680.742
P200,0.100828403,115.18,38.73,642.865
P201,0.149681159,77.96,37.74,642.418
P202,0.128844454,132.18,40.83,665.572
P203,0.153460387,192.22,40.79,628.036
P205,0.203828986,261.24,28.96,576.423
P206,0.146584293,123.96,39.53,610.904
P207,0.162521596,13.83,52.52,562.176
P208,0.133420137,113.42,47.06,711.774
P209,0.097703406,36.06,38.4,NA
P210,0.219828696,18.34,44.4,646.833
P211,0.208394837,412.01,45.94,569.718
P212,0.38928683,167.98,46.11,603.049
P213,0.120631536,99.2,51.29,746.686
P214,0.228825132,355.25,41.8,677.045
