id population PH
A201 tropicaljaponica 93.4
A301 tropicaljaponica 81.2
ADELAIDECHIAPPELLI temperatejaponica 100.07
AIACE tropicaljaponica 79.4
AKITAKOMACHI temperatejaponica 89.73
ALICE temperatejaponica 81.73
ALLORIO temperatejaponica 88.67
ALPE temperatejaponica 91
APOLLO tropicaljaponica 93.13
ARBORIO temperatejaponica 104.93
ARGO temperatejaponica 99.8
ARIETE temperatejaponica 89.07
ARTEMIDE tropicaljaponica 98.87
ASIA aromatic 81.87
AUGUSTO temperatejaponica 95.27
BALDO temperatejaponica 96.33
BALILLA temperatejaponica 86.2
BALZARETTI temperatejaponica 113.13
BARAGGIA temperatejaponica 84.13
BEIRAO temperatejaponica 113.13
BENGAL temperatejaponica 82.27
BERTONE temperatejaponica 91.53
BIANCA temperatejaponica 80.4
CALMOCHI101 temperatejaponica 86.33
CAPATAZ temperatejaponica 98.13
CARNAROLI temperatejaponica 118.33
CASTELMOCHI temperatejaponica 82.27
CENTAURO temperatejaponica 81.27
CIGALON temperatejaponica 80
CINIA40 temperatejaponica 99
COCODRIE tropicaljaponica 94.6
COLINA temperatejaponica 81
CRESO temperatejaponica 74.8
CRIPTO temperatejaponica 77.07
CT58 temperatejaponica 81.67
DELFINO temperatejaponica 79.8
DELLROSE tropicaljaponica 79.33
DIXIEBELLE tropicaljaponica 80.13
DRAGO temperatejaponica 94.07
DREW tropicaljaponica 98.13
ERCOLE temperatejaponica 88.87
ERMES tropicaljaponica 97.67
EUROPA temperatejaponica 95.73
EUROSIS temperatejaponica 85.07
FORTUNA tropicaljaponica 127.47
FRAGRANCE aromatic 76.4
FULGENTE temperatejaponica 90
GALILEO temperatejaponica 79.6
GANGE tropicaljaponica 85.67
GIADA tropicaljaponica 101.73
GIANO tropicaljaponica 74.87
GIGANTEVERCELLI temperatejaponica 123.73
GIZA177 temperatejaponica 86.4
GIZA178 indica 82.33
GLADIO tropicaljaponica 81.4
GRALDO tropicaljaponica 101.13
GREPPI tropicaljaponica 94.8
GRITNA temperatejaponica 104.2
GZ6296 indica 79.53
GZ8367 temperatejaponica 93.4
HANDAO11 temperatejaponica 89.4
HANDAO297 temperatejaponica 103
HONDURAS tropicaljaponica 117.33
IBO380-33 temperatejaponica 100.67
IR64 indica 80.2
ITALMOCHI temperatejaponica 79.07
ITALPATNA48 temperatejaponica 103.67
KARNAK temperatejaponica 98.27
KORAL temperatejaponica 101.07
KULON temperatejaponica 83.33
L201 tropicaljaponica 92.4
LADYWRIGHT tropicaljaponica 116.93
LAGRUE tropicaljaponica 89.67
LAMONE tropicaljaponica 73.07
LIDO temperatejaponica 92
LOMELLINO temperatejaponica 79.47
LORD temperatejaponica 106.13
LOTO temperatejaponica 73.27
LUCERO temperatejaponica 103.53
LUXOR temperatejaponica 78.13
M202 temperatejaponica 82.33
M204 temperatejaponica 89.73
MANTOVA temperatejaponica 100.13
MARATELLI temperatejaponica 103.47
MARTE temperatejaponica 73.13
MELAS temperatejaponica 86.8
MOLO temperatejaponica 84
MONTICELLI temperatejaponica 108.2
NEMBO temperatejaponica 82.93
NOVARA temperatejaponica 107.87
OPALE temperatejaponica 78.27
ORIONE temperatejaponica 98.33
OSTIGLIA temperatejaponica 110.8
OTA temperatejaponica 111.27
PADANO temperatejaponica 94.53
PANDA tropicaljaponica 114.8
PECOS tropicaljaponica 86.53
PELDE temperatejaponica 100.13
PERLA temperatejaponica 82.53
PIEMONTE temperatejaponica 79.8
PLOVDIV22 temperatejaponica 105.73
PROMETEO temperatejaponica 99.93
RANGHINO temperatejaponica 95.73
RAZZA77 temperatejaponica 99.07
REDI temperatejaponica 102.53
RIBE temperatejaponica 100.47
RINALDOBERSANI temperatejaponica 113.13
RINGO temperatejaponica 98.67
ROBBIOSEL1 temperatejaponica 113.8
RODEO temperatejaponica 76.27
RODINA temperatejaponica 105.93
ROMA temperatejaponica 103.47
ROXANI temperatejaponica 90.6
RUBI temperatejaponica 105.8
SAFARI temperatejaponica 100.07
SALVO tropicaljaponica 91
SANTERNO temperatejaponica 83.67
SATURNO tropicaljaponica 77.73
SAVIO temperatejaponica 84.27
SCUDO tropicaljaponica 83.4
SELENIO temperatejaponica 79.6
SENIA temperatejaponica 78.4
SESIA temperatejaponica 99
SESIAMOCHI temperatejaponica 109.67
SETANTUNO temperatejaponica 119.33
SILLA temperatejaponica 102.93
SISR215 tropicaljaponica 84.33
SMERALDO temperatejaponica 83.2
SUPER temperatejaponica 113.2
TEJO temperatejaponica 76.07
TEQING indica 83.07
THAIBONNET tropicaljaponica 83.6
ULISSE temperatejaponica 84.93
UPLA32 tropicaljaponica 86.47
UPLA63 tropicaljaponica 93.53
UPLA68 tropicaljaponica 89.27
UPLA75 tropicaljaponica 90.93
UPLA77 tropicaljaponica 88.07
UPLA80 tropicaljaponica 103.93
UPLA91 tropicaljaponica 92.2
VALTEJO temperatejaponica 106.27
VENERE temperatejaponica 93.13
VIALONE190 temperatejaponica 108.73
VIALONENANO temperatejaponica 108.13
VICTORIA temperatejaponica 87.4
VOLANO temperatejaponica 101.4
ZENA tropicaljaponica 84.73
