ID_sort	Breed	IID	pheno_2	Horn_Type (Tracy)
1	Navajo-Churro	H1	0	2_scurs
2	Navajo-Churro	H2	0	2H_3sc
3	Navajo-Churro	H3	0	polled
4	Navajo-Churro	H4	1	2
6	Navajo-Churro	H6	0	polled
7	Jacobs	H7	1	2
8	Navajo-Churro	H8	0	3_scurs
9	Navajo-Churro	H9	1	2
10	Navajo-Churro	H10	2	4
11	Navajo-Churro	H11	2	4
12	Navajo-Churro	H12	0	4_scurs
13	Jacobs	H13	2	4
14	Navajo-Churro	H14	0	5
15	Navajo-Churro	H15	0	2_scurs
16	Jacobs	H16	2	4
17	Jacobs	H17	1	2
19	Navajo-Churro	H19	0	polled
20	Jacobs	H20	2	4
21	Jacobs	H21	1	2
22	Jacobs	H22	2	4
24	Navajo-Churro	H24	0	2_scurs
25	Navajo-Churro	H25	0	polled
26	Jacobs	H26	2	4
27	Jacobs	H27	2	4
28	Navajo-Churro	H28	2	4
29	Navajo-Churro	H29	1	2
30	Navajo-Churro	H30	0	2_scurs
31	Navajo-Churro	H31	0	2H_1sc
32	Jacobs	H32	2	4
33	Navajo-Churro	H33	0	polled
34	Navajo-Churro	H34	0	2_scurs
35	Jacobs	H35	2	4
37	Navajo-Churro	H37	0	2_scurs
38	Navajo-Churro	H38	0	1H_3sc
39	Navajo-Churro	H39	0	polled
40	Jacobs	H40	1	2
41	Navajo-Churro	H41	0	polled
42	Navajo-Churro	H42	0	2_scurs
43	Navajo-Churro	H43	0	2_scurs
44	Navajo-Churro	H44	2	4
45	Navajo-Churro	H45	0	2_scurs
46	Jacobs	H46	0	2_scurs
47	Jacobs	H47	2	4
48	Jacobs	H48	2	4
49	Navajo-Churro	H49	0	polled
50	Jacobs	H50	0	3H _1sc
51	Jacobs	H51	2	4
52	Navajo-Churro	H52	0	2_scurs
53	Navajo-Churro	H53	0	polled
54	Jacobs	H54	2	4
55	Jacobs	H55	2	4
56	Navajo-Churro	H56	2	4
57	Jacobs	H57	2	4
58	Navajo-Churro	H58	0	2_scurs
59	Jacobs	H59	0	2H_2sc
60	Navajo-Churro	H60	2	4
62	Jacobs	H62	0	3H _1sc
63	Navajo-Churro	H63	0	2H_2sc
64	Jacobs	H64	2	4
65	Jacobs	H65	1	2
66	Jacobs	H66	1	2
67	Jacobs	H67	1	2
68	Jacobs	H68	1	2
69	Jacobs	H69	1	2
70	Jacobs	H70	1	2
71	Jacobs	H71	2	4
72	Jacobs	H72	2	4
73	Jacobs	H73	1	2
74	Jacobs	H74	1	2
75	Jacobs	H75	1	2
76	Jacobs	H76	2	4
77	Jacobs	H77	2	4
78	Jacobs	H78	2	4
79	Jacobs	H79	1	2
80	Jacobs	H80	0	4H fused on one side
81	Jacobs	H81	1	2
82	Jacobs	H82	1	2
83	Jacobs	H83	2	4
84	Jacobs	H84	1	2
85	Jacobs	H85	1	2
86	Jacobs	H86	1	2
87	Jacobs	H87	2	4
88	Jacobs	H88	2	4
89	Jacobs	H89	1	2
90	Jacobs	H90	2	4
91	Jacobs	H91	2	4
92	Jacobs	H92	2	4
93	Jacobs	H93	2	4
94	Jacobs	H94	1	2
95	Jacobs	H95	2	4
96	Jacobs	H96	2	4
97	Jacobs	H97	2	4
98	Jacobs	H98	2	4
99	Jacobs	H99	2	4
100	Jacobs	H100	2	4
101	Jacobs	H101	1	2
102	Jacobs	H102	1	2
103	Jacobs	H103	2	4
104	Jacobs	H104	2	4
105	Jacobs	H105	2	4
106	Jacobs	H106	1	2
107	Jacobs	H107	2	4
108	Jacobs	H108	2	4
109	Jacobs	H109	0	5
110	Jacobs	H110	2	4
111	Jacobs	H111	2	4
112	Jacobs	H112	1	2
113	Jacobs	H113	2	4
114	Jacobs	H114	1	2
115	Jacobs	H115	2	4
116	Jacobs	H116	2	4
117	Jacobs	H117	1	2
118	Jacobs	H118	2	4
119	Jacobs	H119	1	2
120	Jacobs	H120	1	2
121	Jacobs	H121	2	4
122	Jacobs	H122	2	4
123	Jacobs	H123	2	4
124	Jacobs	H124	2	4
125	Jacobs	H125	1	2
126	Jacobs	H126	1	2
127	Jacobs	H127	1	2
128	Jacobs	H128	1	2
129	Jacobs	H129	1	2
130	Jacobs	H130	1	2
131	Jacobs	H131	2	4
132	Jacobs	H132	2	4
133	Jacobs	H133	0	5
134	Jacobs	H134	1	2
135	Jacobs	H135	1	2
136	Jacobs	H136	2	4
137	Jacobs	H137	1	2
138	Jacobs	H138	2	4
139	Jacobs	H139	2	4
140	Jacobs	H140	1	2
141	Jacobs	H141	1	2
142	Jacobs	H142	1	2
143	Jacobs	H143	2	4
144	Jacobs	H144	1	2
145	Jacobs	H145	2	4
146	Jacobs	H146	0	4 (FUSED ON RT SIDE)
147	Jacobs	H147	2	4
148	Jacobs	H148	1	2
149	Jacobs	H149	1	2
150	Jacobs	H150	1	2
151	Jacobs	H151	2	4
152	Jacobs	H152	1	2
153	Jacobs	H153	1	2
154	Jacobs	H154	1	2
155	Jacobs	H155	2	4
156	Jacobs	H156	1	2
157	Jacobs	H157	1	2
158	Jacobs	H158	0	2H_1sc
159	Jacobs	H159	2	4
160	Jacobs	H160	1	2
161	Jacobs	H161	1	2
162	Jacobs	H162	1	2
163	Jacobs	H163	2	4
164	Jacobs	H164	2	4
165	Jacobs	H165	1	2

